country,trajectory_cluster,dominant_trajectory_domain
Algeria,Education-Led Social Improvers,Labor
Bahrain,Steady Reformers,Economy
"Egypt, Arab Rep.",Education-Led Social Improvers,WBL
"Iran, Islamic Rep.",Education-Led Social Improvers,Education
Iraq,Education-Led Social Improvers,Education
Jordan,Steady Moderate Improvers,Governance
Kuwait,Steady Moderate Improvers,Health
Lebanon,Education-Led Social Improvers,Economy
Libya,Education-Led Social Improvers,Education
Morocco,Morocco,Health
Oman,Steady Moderate Improvers,Health
Qatar,Steady Moderate Improvers,Demographics
Saudi Arabia,Steady Reformers,LegalAutonomy
Syrian Arab Republic,Education-Led Social Improvers,Demographics
Tunisia,Education-Led Social Improvers,Governance
United Arab Emirates,UAE,WBL
West Bank and Gaza,Palestine,Health
"Yemen, Rep.",Education-Led Social Improvers,Labor
