year,value,country_name,indicator_name,unit_type,category
2000,0.0,Bahrain,A woman can apply for a passport in the same way as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,0.0,Bahrain,"A woman can be \head of household\"" in the same way as a man (1=yes; 0=no)",Binary (1/0),Gender Rights & Legal Equality
2000,0.0,Bahrain,A woman can choose where to live in the same way as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,0.0,Bahrain,A woman can get a job in the same way as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,0.0,Bahrain,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,1.0,Bahrain,A woman can open a bank account in the same way as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,1.0,Bahrain,A woman can register a business in the same way as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,1.0,Bahrain,A woman can sign a contract in the same way as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,0.0,Bahrain,A woman can travel outside her home in the same way as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,1.0,Bahrain,A woman can travel outside the country in the same way as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,0.0,Bahrain,A woman can work at night in the same way as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,0.0,Bahrain,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,0.0,Bahrain,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,0.0,Bahrain,A woman has the same rights to remarry as a man (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,11.453,Bahrain,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Rate per 1,000",Fertility & Demographics
2000,20.431,Bahrain,"Birth rate, crude (per 1,000 people)","Rate per 1,000",Fertility & Demographics
2000,0.0,Bahrain,Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no),Binary (1/0),Gender Rights & Legal Equality
2000,0.0,Bahrain,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",Percent (%),Education & Literacy
2000,0.0,Bahrain,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",Percent (%),Education & Literacy
2000,87.3810699588477,Bahrain,"Employment in services, female (% of female employment) (modeled ILO estimate)",Percent (%),Labor & Employment
2000,65.6798899517346,Bahrain,"Employment in services, male (% of male employment) (modeled ILO estimate)",Percent (%),Labor & Employment
2000,14214.4836839343,Bahrain,GDP per capita (current US$),Currency (US$),Economic Context
2000,-0.40004069748808,Bahrain,"Inflation, consumer prices (annual %)",Percent (%),Economic Context
2000,35.474,Bahrain,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percent (%),Labor & Employment
2000,86.353,Bahrain,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",Percent (%),Labor & Employment
2000,76.149,Bahrain,"Life expectancy at birth, female (years)",Years,Fertility & Demographics
2000,73.591,Bahrain,"Life expectancy at birth, male (years)",Years,Fertility & Demographics
2000,0.0,Bahrain,"Literacy rate, adult female (% of females ages 15 and above)",Percent (%),Education & Literacy
2000,0.0,Bahrain,"Literacy rate, adult male (% of males ages 15 and above)",Percent (%),Education & Literacy
2000,0.0,Bahrain,"Literacy rate, adult total (% of people ages 15 and above)",Percent (%),Education & Literacy
2000,0.0,Bahrain,"Literacy rate, youth female (% of females ages 15-24)",Percent (%),Education & Literacy
